,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum
9205,pole,5.6,1.39,20,3.05,2.04,19
9206,police,4.59,2.4,22,5.95,2.46,21
9207,police officer,4.67,1.85,21,5.48,2.5,23
9208,policeman,4.21,1.32,19,4.06,2.48,18
9209,policewoman,5.05,2.57,22,3.92,2.52,25
9210,policy,3.77,1.34,22,3.3,2.03,20
9211,polio,2.67,1.8,21,5.0,2.61,21
9213,polite,6.57,1.93,23,2.95,1.86,21
9214,politeness,7.33,1.3,39,3.04,2.34,23
9216,politician,3.25,1.33,20,4.7,2.79,23
9217,politics,4.0,2.15,20,3.44,2.62,18
9218,polka,4.79,2.3,19,4.17,2.41,18
9219,poll,4.63,1.61,19,4.14,2.13,21
9220,pollen,3.81,2.06,21,3.44,2.29,25
9221,polling,4.55,2.18,22,3.25,2.02,20
9222,pollute,1.88,1.17,41,4.91,2.69,22
9223,pollution,2.0,1.55,21,5.19,2.4,21
9224,polo,5.21,2.04,19,3.95,2.09,20
9225,poltergeist,4.4,1.93,20,5.55,2.09,22
9226,polyester,4.29,1.62,21,3.85,2.09,26
9227,polygraph,3.95,1.73,22,4.31,2.33,26
9228,polymer,5.35,0.86,17,3.0,2.13,20
9229,pomp,5.32,1.06,19,3.57,1.86,21
9231,poncho,5.48,1.47,21,3.74,2.0,19
9232,pond,6.32,2.06,19,2.32,1.76,22
9233,ponder,5.65,1.6,20,3.95,1.99,20
9234,pong,5.05,1.99,19,4.0,2.34,20
9235,pony,6.71,1.59,21,4.29,2.93,24
9236,ponytail,7.05,1.32,21,3.53,2.41,19
9237,pooch,6.1,2.02,20,4.08,2.39,24
9238,poodle,6.1,2.2,20,3.6,1.85,20
9239,poof,5.7,1.53,20,3.8,2.33,20
9240,pool,6.78,1.7,18,3.65,2.66,20
9241,poop,2.6,1.73,20,5.14,2.15,21
9243,pop,6.05,1.73,20,4.45,2.24,22
9244,popcorn,7.26,1.33,19,5.23,2.86,22
9245,pope,5.18,2.06,22,4.21,2.23,19
9246,Pope,3.7,2.34,20,3.59,2.15,22
9247,popper,5.05,1.84,19,4.23,2.2,22
9248,poppycock,5.68,1.57,19,5.19,2.11,21
9249,popsicle,6.85,1.18,20,3.95,2.54,21
9251,popularity,5.81,1.97,21,4.32,2.39,25
9252,population,4.81,1.4,21,3.96,2.27,23
9253,porcelain,6.14,1.49,21,3.14,2.27,22
9254,porch,6.4,1.6,20,3.36,2.11,22
9255,porcupine,6.38,1.63,21,4.95,2.26,20
9256,pore,4.71,1.62,21,3.12,2.13,25
9257,pork,5.0,2.54,19,3.8,2.88,20
9258,porker,3.63,1.83,19,3.62,2.52,21
9259,porky,3.7,1.89,20,4.29,2.08,21
9260,porn,4.32,2.89,19,7.24,2.1,21
9261,porno,5.53,3.12,19,5.82,2.28,22
9263,pornography,3.85,2.23,20,6.0,2.22,20
9264,porridge,5.0,1.23,22,3.33,2.44,21
9265,port,5.55,1.19,20,3.38,1.75,21
9267,portal,5.37,1.74,19,3.59,2.2,22
9268,porterhouse,5.74,1.76,19,4.43,2.56,23
9269,portfolio,5.95,1.93,19,3.36,2.65,22
9270,porthole,4.86,1.96,21,3.25,2.38,20
9271,portion,5.16,1.57,19,3.91,2.33,23
9272,portrait,6.05,1.86,21,3.2,2.21,20
9273,portray,5.35,1.81,20,3.09,1.86,23
9274,pose,5.63,1.98,19,3.11,2.18,19
9275,posh,5.58,2.04,19,3.95,2.17,22
9276,position,5.56,1.65,18,3.35,2.83,20
9279,posse,4.52,1.63,21,4.41,2.04,22
9280,possess,4.67,1.62,21,3.95,2.21,22
9281,possession,5.14,1.88,21,4.04,2.56,24
9282,possessive,3.26,1.45,19,4.86,1.93,21
9283,possibility,6.55,1.32,20,4.85,2.62,20
9285,possum,3.74,1.88,19,4.0,2.45,22
9286,post,5.05,1.65,22,3.58,2.09,19
9287,postage,5.09,1.69,22,2.57,1.5,21
9289,postcard,5.68,1.59,22,4.23,2.57,26
9290,poster,5.35,0.59,20,3.14,1.98,22
9291,posterior,5.33,1.33,18,2.9,1.97,20
9292,posterity,5.89,1.49,19,3.85,2.28,20
9293,postman,5.83,1.82,18,3.2,2.44,20
9294,postmortem,3.19,1.97,21,4.71,2.61,21
9295,postpone,4.32,1.11,19,2.94,1.76,18
