,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum
0,aardvark,6.26,2.21,19,2.41,1.4,22
1,abalone,5.3,1.59,20,2.65,1.9,20
2,abandon,2.84,1.54,19,3.73,2.43,22
3,abandonment,2.63,1.74,19,4.95,2.64,21
4,abbey,5.85,1.69,20,2.2,1.7,20
5,abdomen,5.43,1.75,21,3.68,2.23,22
7,abduct,2.42,1.61,19,5.9,2.57,20
8,abduction,2.05,1.31,19,5.33,2.2,21
9,abide,5.52,1.75,21,3.26,2.22,23
11,ability,7.0,1.59,20,4.85,2.74,20
12,abject,4.0,1.29,19,3.94,2.41,17
13,ablaze,5.15,1.79,20,6.75,2.12,20
16,abnormality,3.05,1.81,19,5.0,2.62,22
17,abode,5.28,1.27,18,2.9,1.89,21
18,abolish,3.84,1.54,19,4.18,2.07,17
20,abomination,2.5,1.65,18,5.9,2.59,20
21,abort,3.1,1.37,20,5.8,2.44,20
22,abortion,2.58,1.84,19,5.43,2.38,47
23,abracadabra,5.11,2.52,18,5.27,2.64,22
25,abreast,4.62,1.94,21,4.61,2.33,23
26,abrupt,3.28,1.64,18,5.23,2.0,22
27,abscess,2.79,1.58,19,4.0,2.38,20
28,absence,3.86,2.08,21,4.3,2.13,20
29,absent,4.1,1.55,21,3.72,2.48,25
30,absinthe,3.53,1.98,19,3.7,2.34,20
31,absolute,5.43,1.4,21,3.48,2.27,23
32,absolution,6.58,1.68,19,3.38,2.11,21
33,absolve,4.58,1.54,19,3.53,1.94,17
34,absorb,5.5,1.6,22,4.27,1.91,22
35,abstain,4.4,0.94,20,3.1,1.81,21
36,abstinence,3.43,1.63,21,3.15,2.37,20
37,abstract,5.25,1.59,20,3.96,2.9,24
38,absurd,4.45,1.92,40,4.02,2.06,43
39,absurdity,4.06,2.18,18,4.7,2.36,23
40,abundance,6.67,1.5,18,4.72,2.7,18
41,abundant,7.55,1.39,20,4.21,2.7,19
42,abuse,1.53,1.07,19,6.21,2.17,42
44,abysmal,3.45,1.39,20,3.91,1.98,23
45,abyss,3.9,1.51,21,4.85,2.41,20
47,academy,5.32,1.89,19,3.77,2.16,22
48,accelerant,4.59,1.59,22,4.81,2.14,26
49,accelerate,6.1,1.48,21,6.04,1.77,23
51,acceleration,6.19,1.54,21,6.73,2.1,22
52,accelerator,5.63,1.16,19,5.0,2.45,18
53,accent,6.48,1.54,21,4.95,2.67,20
54,accept,6.39,1.65,18,2.8,2.26,20
56,acceptance,6.84,1.31,38,4.3,2.82,46
57,access,6.68,1.39,22,5.3,2.32,20
59,accessory,5.35,1.9,20,4.22,2.69,18
60,accident,2.55,1.25,42,4.93,2.56,43
61,accidental,3.46,1.25,24,4.0,2.47,20
62,acclaim,6.1,1.61,21,3.95,2.01,22
63,accommodate,6.35,1.73,20,3.0,1.61,18
64,accommodation,6.76,1.7,21,4.72,2.07,25
65,accompany,5.47,1.22,19,3.85,1.84,20
66,accomplice,4.6,1.39,20,4.5,2.61,20
67,accomplish,7.45,1.15,20,5.16,2.81,19
68,accomplishment,8.05,0.86,21,4.96,2.3,25
69,accord,6.38,1.56,21,2.85,1.9,20
70,accordion,5.26,2.08,19,2.94,2.21,18
71,account,5.39,1.61,18,3.76,2.49,21
72,accountability,4.89,1.94,19,3.7,2.27,20
74,accountant,5.19,1.69,21,3.81,2.18,21
75,accounting,4.42,2.09,19,3.68,2.4,22
76,accumulate,6.33,2.0,18,2.73,2.27,22
77,accuracy,6.32,1.7,19,3.33,2.18,21
78,accurate,7.42,1.57,19,4.35,2.25,23
80,accusation,3.38,1.75,21,5.48,2.23,23
81,accuse,2.68,1.63,19,5.32,2.08,22
82,ace,6.37,1.34,19,4.64,2.38,22
83,acetylene,4.11,1.63,19,3.67,2.06,21
84,ache,3.27,2.01,40,4.3,2.26,47
85,achieve,7.75,1.16,20,4.7,2.96,23
86,achievement,7.28,2.15,40,5.57,2.17,23
87,achy,3.15,1.46,20,4.48,1.89,21
88,acid,3.26,2.02,19,4.77,2.37,22
89,acknowledge,6.43,1.86,21,3.26,2.18,23
90,acknowledgement,6.53,1.5,19,3.3,2.3,23
91,acne,2.18,1.47,17,4.47,2.5,19
92,acorn,5.85,1.76,20,4.42,2.32,24
94,acoustics,6.33,1.2,21,3.19,1.83,21
95,acquaintance,5.58,1.35,24,3.24,1.64,21
97,acquisition,5.0,1.95,20,4.36,2.44,22
98,acquit,5.6,1.6,20,4.56,2.71,18
99,acquittal,6.19,1.72,21,4.95,2.31,20
100,acre,5.53,1.71,19,2.73,1.7,22
101,acreage,5.25,1.74,20,3.74,2.0,23
102,acrobat,6.0,1.3,20,4.9,2.14,21
103,acrylic,5.52,1.81,25,3.73,2.31,26
104,act,5.64,1.71,22,4.19,2.29,21
105,action,6.0,1.64,18,6.19,2.56,21
106,action figure,6.18,1.85,17,4.65,2.39,20
107,activate,5.7,1.77,40,3.78,2.54,23
108,activation,6.14,1.53,21,3.52,2.33,23
110,activist,6.24,1.84,21,5.26,2.33,19
111,activity,6.21,1.75,19,4.86,2.48,21
112,actor,6.15,1.27,20,4.35,2.28,20
113,actress,5.42,1.22,19,5.43,2.18,21
115,actuality,5.4,1.47,20,5.55,2.28,20
116,acupuncture,4.81,2.23,21,4.9,2.63,20
117,acute,5.1,1.94,20,5.09,1.95,22
118,ad,4.11,1.45,19,3.33,2.17,18
119,adage,5.55,0.83,20,3.38,1.88,21
120,adamant,5.45,1.92,22,5.74,2.4,19
121,adapt,5.84,1.3,19,3.9,2.36,20
122,adaptation,5.82,1.84,22,3.55,1.92,22
124,adder,4.45,1.47,20,3.24,2.36,17
125,addict,2.86,1.93,21,5.33,2.44,45
127,addiction,3.52,1.81,21,4.48,2.87,23
130,address,6.11,1.64,18,3.05,2.06,20
131,adept,6.14,1.56,21,4.17,2.35,23
132,adequate,4.7,1.56,20,3.64,2.13,22
135,Adidas,5.77,1.38,22,4.18,2.74,22
136,adjacent,5.15,1.27,20,2.78,1.96,18
139,adjourn,5.5,1.62,18,3.15,1.93,20
140,adjust,5.76,1.67,21,3.0,2.07,23
141,adjuster,4.25,1.41,20,3.5,1.74,22
142,adjustment,5.53,1.22,19,4.59,2.36,22
143,admin,4.37,1.71,19,3.64,2.5,22
144,administer,4.4,1.79,20,3.86,2.23,22
145,administration,4.45,1.36,20,3.23,2.0,22
147,administrator,5.32,1.59,22,4.74,2.35,19
150,admiralty,6.16,2.12,19,4.27,2.33,22
151,admiration,7.58,1.98,19,5.52,2.19,23
152,admire,7.35,1.27,20,5.0,2.27,22
154,admirer,7.05,1.43,21,6.0,2.25,22
156,admission,5.91,1.34,22,3.69,2.02,26
157,admit,5.56,1.79,18,3.35,2.43,20
158,admittance,6.29,1.23,21,3.6,1.5,20
159,ado,4.82,0.96,22,3.33,2.24,21
160,adobe,5.25,1.83,20,3.89,2.32,18
161,adolescence,6.0,1.65,20,5.1,2.53,21
162,adolescent,5.38,1.91,21,4.2,2.67,20
163,adopt,6.9,1.61,21,4.71,2.18,24
164,adoption,6.68,1.92,19,4.82,2.44,22
167,adoration,6.47,2.06,19,4.36,2.28,22
168,adore,7.37,1.38,19,5.96,2.33,23
170,adrenalin,6.33,1.91,21,5.05,3.03,22
171,adrenaline,6.61,2.03,18,5.95,2.58,20
172,adrift,4.36,1.6,25,3.19,1.78,21
173,adult,5.9,2.1,42,4.36,2.5,22
174,adulterer,2.77,1.97,22,5.68,2.85,22
175,adultery,2.81,2.06,21,6.42,2.48,19
176,adulthood,5.05,2.09,21,4.28,2.53,25
177,advance,6.11,2.0,18,4.62,2.54,21
179,advancement,7.47,1.54,19,5.81,2.04,21
180,advantage,6.71,1.62,21,3.95,2.36,22
182,adventure,7.4,1.78,42,6.36,2.4,42
183,adventurer,7.0,1.76,21,5.27,2.9,22
185,adversary,4.55,2.11,20,4.41,2.04,22
186,adverse,3.68,1.0,19,3.89,2.22,18
187,adversity,4.26,2.47,19,3.82,2.61,22
188,advertise,5.16,1.68,19,4.29,2.31,21
189,advertisement,4.3,1.49,20,4.14,2.46,22
190,advertising,4.68,2.19,19,3.25,2.02,20
191,advice,5.78,1.99,18,3.05,2.38,21
193,advise,5.44,1.39,25,3.38,2.27,21
194,advisement,4.55,1.53,22,4.04,2.36,26
195,adviser,5.68,2.11,19,3.36,1.71,22
196,advisor,4.74,1.45,19,3.19,1.63,21
197,advisory,4.95,1.5,21,4.05,2.19,22
198,advocate,5.25,1.48,20,4.59,2.06,22
200,aerobics,6.0,1.11,19,5.1,2.17,21
202,aerospace,5.79,1.69,19,4.52,2.29,21
204,affair,3.1,2.53,21,5.4,2.46,20
205,affect,5.65,1.23,20,3.61,2.23,23
206,affection,7.89,1.05,19,5.64,2.63,22
207,affectionate,7.23,1.77,22,4.77,2.65,22
208,affidavit,4.38,1.2,21,3.73,2.43,22
209,affiliation,5.32,0.99,22,3.9,1.97,21
210,affinity,5.86,1.32,22,4.29,2.33,21
211,affirmation,5.95,2.37,20,3.95,1.67,20
213,affliction,3.76,1.92,21,5.1,2.25,20
214,afford,6.56,2.09,18,4.33,2.82,21
216,affront,4.53,1.17,19,4.5,2.46,20
217,afire,6.05,1.36,20,5.41,2.48,22
218,afloat,5.57,1.33,21,4.13,2.24,23
220,afraid,2.25,1.16,20,5.12,2.57,42
222,afterlife,5.53,2.52,19,4.32,2.9,22
223,aftermath,4.29,1.82,21,5.38,2.46,21
224,afternoon,6.68,1.43,22,3.48,2.09,21
225,aftershave,5.55,1.57,20,3.5,2.44,22
226,age,5.78,1.93,18,3.71,2.59,21
227,agency,5.14,1.46,21,3.17,1.97,23
228,agenda,5.05,2.01,21,3.62,2.26,24
229,agent,5.23,1.95,22,3.43,2.13,21
230,aggravate,2.55,1.19,20,5.9,2.19,21
231,aggravation,2.48,1.12,21,5.35,2.81,20
232,aggression,3.18,2.02,22,5.69,2.49,26
234,aggressiveness,3.58,2.12,19,6.43,2.11,23
235,aggressor,2.8,1.01,20,6.55,1.57,20
236,agile,5.95,2.2,19,4.95,2.01,22
237,agility,6.55,1.19,20,4.21,2.29,42
239,agitate,3.36,1.68,22,5.82,2.52,22
240,agitation,2.84,1.42,19,4.75,2.38,20
241,aglow,5.84,1.5,19,4.83,2.73,18
243,agony,2.46,1.64,41,5.78,2.78,18
244,agree,7.17,1.58,18,3.62,2.09,21
246,agreement,6.75,2.51,20,4.05,2.22,19
248,agriculture,6.1,0.91,20,3.05,2.4,21
249,ahoy,5.58,1.64,19,3.95,2.2,21
250,aid,6.29,2.05,21,4.55,2.35,20
251,aide,5.6,1.19,20,4.0,1.66,22
252,aids,3.52,2.2,21,3.75,2.74,24
253,AIDS,1.33,0.8,21,5.0,2.6,20
255,ailment,3.0,1.37,18,3.68,2.25,22
256,aim,5.95,1.76,22,4.0,2.37,21
257,air,6.71,1.85,21,3.25,2.55,20
258,airbag,5.4,1.93,20,3.64,1.97,22
260,aircraft,6.3,1.42,20,4.86,2.46,22
261,aircraft carrier,5.25,1.8,20,4.64,2.59,22
262,airfield,5.74,1.48,19,4.38,2.22,21
263,airhead,4.1,2.0,21,4.3,2.32,20
264,airline,5.36,1.87,22,4.12,2.57,26
265,airliner,6.05,1.72,19,4.0,2.51,22
266,airlock,4.85,1.09,20,4.23,2.29,22
267,airplane,5.25,1.62,20,5.62,2.42,21
268,airport,6.0,2.14,21,5.5,2.78,20
269,airship,5.63,1.34,19,4.88,2.47,24
270,airspace,5.5,1.29,18,4.4,2.16,20
271,airspeed,4.95,1.51,19,4.33,2.79,18
272,airstrip,4.76,1.48,21,3.83,2.68,24
273,airtight,5.1,1.86,20,3.3,2.01,23
275,aisle,5.17,1.65,18,2.5,1.44,22
276,ajar,5.0,1.55,21,3.26,2.32,23
277,aka,4.63,1.46,19,3.39,2.33,18
278,alabaster,5.5,1.43,20,3.95,2.06,21
279,alarm,3.86,1.98,21,6.85,2.39,20
280,alarm clock,3.47,1.47,19,5.36,2.77,22
282,albatross,5.68,2.31,19,3.09,1.6,22
283,albino,4.9,1.51,21,3.09,1.6,22
284,album,6.19,1.78,21,5.63,2.63,19
285,alcohol,4.11,2.08,19,5.17,1.86,18
287,alcoholism,2.0,1.61,21,5.0,2.45,24
288,alcove,5.5,1.91,20,3.32,2.39,25
289,alderman,4.44,2.12,18,3.05,1.89,22
290,ale,5.95,1.31,19,4.1,2.1,21
291,alert,5.38,1.72,40,5.14,2.41,43
292,alfalfa,4.79,1.9,19,3.67,1.91,21
293,algebra,5.4,2.28,20,4.6,2.66,20
294,algorithm,5.3,1.59,20,3.7,1.87,20
295,alias,5.0,1.03,20,4.71,2.05,21
296,alibi,4.16,1.89,19,4.5,1.88,20
297,alien,4.45,1.82,20,4.86,2.21,22
298,alienate,2.79,1.62,19,4.27,1.88,22
299,alienation,2.53,1.17,19,5.14,1.88,22
300,alight,5.67,1.43,21,3.86,2.03,21
301,align,5.95,1.75,19,3.32,1.91,22
302,alignment,6.0,1.48,21,3.92,2.34,24
303,alimony,3.86,1.74,21,3.09,2.45,23
305,allegation,3.26,1.24,19,5.9,1.3,21
307,allegiance,5.8,1.67,20,5.17,2.21,23
308,allegro,5.0,1.65,20,3.89,2.95,18
309,allergic,3.0,1.86,20,5.4,2.44,20
310,allergy,2.9,1.55,41,3.9,2.17,21
311,alleviate,6.25,1.41,20,3.45,2.32,22
312,alley,4.17,1.63,41,4.08,2.28,38
314,alliance,6.14,1.77,21,4.4,2.74,20
316,alligator,4.23,1.88,22,5.36,2.3,22
318,allowance,6.74,1.37,19,4.05,2.11,21
319,alloy,5.2,1.85,20,3.32,2.06,22
320,allure,6.9,0.97,20,4.25,2.55,20
323,almanac,5.55,1.19,20,3.24,2.05,21
324,almighty,6.15,2.16,20,4.59,2.61,22
325,almond,6.05,1.85,20,2.89,2.13,19
326,aloha,7.1,1.26,21,3.82,2.13,22
328,aloof,4.59,2.16,41,3.09,1.99,43
329,alpha,5.5,2.24,20,3.67,2.63,21
330,alphabet,5.95,1.94,21,3.15,2.25,20
332,alpine,5.84,0.76,19,3.52,1.89,21
333,altar,5.59,2.15,22,4.05,2.62,21
334,altar boy,4.76,1.41,21,3.11,2.13,19
335,alter,4.57,1.29,21,4.17,2.19,23
336,alteration,5.05,1.84,19,4.05,2.35,20
337,altercation,3.61,1.64,23,5.62,2.75,21
338,alternate,5.15,0.81,20,3.48,1.89,21
340,alternative,5.33,1.43,21,3.61,2.74,23
341,altimeter,4.5,0.96,22,3.61,2.1,23
342,altitude,5.27,1.72,22,4.15,2.52,26
343,aluminum,5.1,1.68,20,4.05,2.24,20
344,alumnus,4.95,1.5,21,3.23,2.0,22
345,alzheimers,2.26,1.82,19,4.5,2.35,22
346,amaretto,6.0,1.9,21,4.04,2.4,23
347,amateur,4.58,1.17,19,3.55,2.09,20
348,amaze,7.24,2.0,21,5.0,2.25,20
350,amazement,7.29,1.9,24,6.3,2.51,23
352,ambassador,5.5,1.54,22,3.91,2.16,22
353,amber,6.15,1.79,20,3.36,1.84,22
354,ambience,6.35,1.87,20,3.85,2.87,20
355,ambient,6.33,1.8,21,3.2,2.53,20
357,ambition,7.28,1.62,40,4.86,2.38,44
359,ambrosia,5.95,1.94,21,4.05,2.31,20
360,ambulance,3.71,2.11,41,5.33,2.94,21
361,ambush,3.17,1.89,18,5.58,2.81,19
362,amend,5.85,1.87,20,3.06,2.1,18
363,amendment,5.6,1.19,20,3.5,1.92,18
364,amends,6.68,1.8,19,3.95,2.21,20
366,amino,4.45,1.88,20,3.83,1.97,24
367,ammo,4.18,2.24,22,5.53,2.34,19
368,ammonia,3.74,1.69,19,3.0,2.02,22
369,ammonium,4.06,1.63,18,4.37,2.61,19
370,ammunition,4.59,2.5,22,5.7,2.27,23
371,amnesia,3.43,1.69,21,5.04,2.48,23
372,amnesty,5.38,2.22,21,3.86,2.33,21
374,amount,5.42,0.61,19,3.53,1.98,19
375,amour,6.43,1.89,21,5.43,2.57,23
376,amp,5.79,1.44,19,5.05,2.36,21
379,ample,5.89,2.21,19,3.28,2.14,18
380,amputate,2.1,1.45,20,5.43,2.37,23
381,amputation,1.84,1.26,19,4.86,2.76,21
382,amuck,4.0,2.08,19,4.41,2.26,22
383,amulet,5.75,1.8,20,3.95,2.29,21
384,amuse,7.1,1.37,20,5.17,1.99,23
386,amusement,7.0,1.56,19,4.82,2.7,22
388,anaconda,4.43,2.66,21,6.0,2.13,20
389,anagram,4.37,1.89,19,3.86,1.96,21
391,analogy,5.24,2.07,21,3.95,2.27,19
392,analysis,5.25,1.59,20,3.74,1.94,19
393,analyst,5.0,0.79,20,3.24,2.12,21
395,analyze,5.65,1.39,20,4.1,2.17,21
396,analyzer,4.62,1.56,21,3.48,2.37,23
398,anarchist,2.76,1.87,21,4.16,1.97,25
399,anarchy,3.68,2.0,19,4.86,2.64,22
400,anatomy,6.29,1.01,21,4.43,2.4,21
401,ancestor,6.37,1.16,19,3.73,2.41,22
403,ancestry,6.29,1.82,21,3.71,2.24,21
404,anchor,5.16,2.17,19,3.32,2.08,22
405,anchorage,5.09,1.72,22,3.82,2.26,22
406,ancient,7.24,1.18,21,3.48,1.97,21
407,android,5.62,2.33,21,3.5,2.41,24
408,anecdote,5.62,1.36,21,4.65,2.55,23
409,anemia,3.05,2.04,21,4.09,2.39,23
411,anesthesia,4.84,2.06,19,3.64,2.06,22
412,anesthesiologist,4.95,2.11,20,3.56,2.25,18
414,aneurysm,2.5,1.79,20,5.38,2.33,21
415,angel,7.71,1.85,41,4.24,2.85,42
416,angelic,6.68,2.52,19,4.27,2.45,22
417,anger,2.5,1.36,20,5.93,2.77,43
418,angina,2.85,1.69,20,4.72,2.89,18
419,angiogram,4.19,1.83,21,3.61,2.68,23
420,angle,4.55,1.28,20,3.22,2.24,18
421,angora,5.63,2.24,19,2.95,1.56,22
423,angst,3.5,1.7,20,5.76,2.55,21
424,anguish,3.14,1.77,21,5.41,2.72,22
426,animal,7.06,1.95,18,4.3,2.7,20
428,animation,6.42,1.12,19,5.52,2.84,21
429,animosity,3.4,1.88,20,5.83,2.28,18
430,ankle,5.4,1.9,20,3.11,1.94,18
431,anklet,4.75,1.37,20,3.57,1.97,23
432,annals,4.8,0.83,20,2.6,2.21,20
433,annex,4.41,1.05,22,4.0,2.49,23
434,annihilate,3.15,1.73,20,6.44,2.53,18
435,annihilation,2.58,1.87,19,5.52,2.54,21
436,anniversary,6.95,2.03,22,4.0,2.68,21
437,announce,5.52,1.33,21,3.65,2.66,20
438,announcement,5.81,1.4,21,4.3,2.81,20
439,announcer,5.84,1.5,19,4.5,2.7,22
440,annoy,2.49,1.42,41,5.04,2.4,23
441,annoyance,2.95,1.23,20,4.1,2.59,20
442,annoyed,2.8,1.2,20,5.29,2.53,21
445,annul,3.83,2.15,23,4.23,2.31,22
446,annulment,4.05,1.99,20,4.14,2.34,22
448,anomaly,4.84,1.74,19,4.25,2.45,20
449,anonymity,4.81,2.02,21,3.29,1.82,21
451,anorexic,2.71,2.08,21,4.24,2.39,21
452,answer,6.1,1.41,39,4.0,2.89,43
453,ant,3.9,1.14,21,3.27,2.39,22
456,antelope,5.68,1.46,22,4.46,2.72,26
457,antenna,5.43,1.25,21,3.15,2.11,20
458,anterior,4.89,1.82,19,3.36,2.34,22
459,anthem,5.95,1.43,20,4.48,2.27,21
460,anthill,4.32,1.86,22,4.63,2.17,19
461,anthrax,2.32,0.89,19,4.72,2.47,18
463,anthropologist,5.7,1.22,20,3.27,2.33,22
464,anthropology,5.3,1.87,20,2.91,2.15,23
465,anti,4.47,1.98,19,4.23,2.52,22
466,antiaircraft,4.85,2.13,20,4.6,2.27,25
468,antibiotics,5.05,1.73,20,4.05,2.32,22
469,antichrist,2.36,1.79,22,5.58,2.4,26
470,anticipate,6.0,1.26,20,5.7,2.0,20
471,anticipation,5.26,1.66,19,5.39,2.55,18
472,antics,3.95,1.43,19,5.1,2.17,21
473,antidote,6.55,2.31,20,3.24,2.05,21
474,antigravity,5.74,1.76,19,5.1,2.65,20
476,antique,6.5,1.93,20,4.0,2.35,25
477,antiques,6.63,2.29,19,3.68,2.71,22
480,antsy,4.36,1.76,22,5.23,2.72,22
481,anus,2.9,1.62,20,4.39,2.33,18
482,anvil,5.05,0.94,20,4.4,2.11,20
483,anxiety,2.38,1.66,21,4.78,2.89,23
485,anytime,5.81,1.6,21,4.6,2.46,20
486,aorta,4.35,1.57,20,3.64,1.59,22
488,apache,5.2,1.51,20,3.7,2.13,20
489,apartment,5.72,2.35,18,3.8,2.76,20
490,apartments,5.0,1.73,19,3.28,1.99,18
491,apathy,3.68,1.7,19,3.8,2.21,20
492,ape,5.21,1.72,19,4.25,2.73,20
493,apex,5.52,1.59,23,3.48,2.29,21
494,aphrodisiac,6.43,1.99,21,5.96,2.46,23
495,apocalypse,3.24,2.34,21,5.04,2.9,24
498,apology,6.24,1.87,21,4.0,2.14,22
499,apostle,5.5,2.21,20,4.38,2.28,24
503,apparatus,5.5,1.65,22,4.0,2.37,21
504,apparel,5.38,2.2,21,4.3,2.22,23
505,apparent,4.96,1.46,23,3.19,2.06,21
506,apparition,4.85,1.5,20,4.82,2.13,22
507,appeal,6.3,2.15,20,3.57,2.13,21
509,appearance,6.14,1.9,21,4.57,2.45,23
510,appease,5.95,1.15,20,3.55,2.28,22
511,appendage,4.23,1.34,22,4.35,2.4,23
512,appendectomy,2.95,2.15,19,6.14,2.46,21
513,appendicitis,1.86,1.35,21,5.12,2.6,25
514,appendix,4.81,1.97,21,2.92,1.89,24
515,appetite,6.23,1.54,22,5.37,2.39,19
516,appetizer,7.29,1.76,21,4.52,2.37,25
518,applaud,6.7,1.17,20,5.05,1.75,19
519,applause,7.12,1.35,41,5.38,1.83,21
520,apple,6.62,1.72,21,3.52,2.06,21
521,apple juice,7.3,1.43,23,3.2,2.21,20
522,applejack,5.79,1.96,19,3.8,2.31,20
523,applesauce,6.9,1.86,20,2.78,2.0,23
524,appliance,5.15,1.29,40,2.84,1.88,45
525,applicant,4.91,1.19,22,3.96,2.24,25
526,application,5.05,1.43,20,4.52,1.95,23
528,appoint,5.95,1.61,19,4.25,2.07,20
529,appointment,4.43,1.69,21,4.8,2.5,20
530,appraisal,5.09,2.0,23,4.09,2.09,22
531,appreciate,7.33,1.53,18,3.1,2.25,20
532,appreciation,7.3,1.45,20,4.68,2.44,22
534,apprehend,4.14,1.85,21,5.13,2.28,23
535,apprehension,4.15,1.66,20,4.23,2.58,22
537,apprentice,5.95,1.32,21,3.59,1.71,22
538,approach,5.45,1.15,20,4.48,1.91,21
539,appropriate,6.1,1.94,20,4.04,2.06,23
540,approval,6.75,1.68,20,3.52,2.77,21
542,approximate,5.26,1.29,23,3.82,2.2,22
543,apricot,5.95,2.19,20,4.29,2.12,21
544,apron,5.8,1.54,20,2.9,1.65,20
545,apt,5.64,1.53,22,4.05,2.32,19
546,aptitude,5.95,1.54,19,4.55,2.42,20
547,aqua,6.5,1.28,20,3.6,2.37,20
548,aquamarine,6.4,1.9,20,3.9,2.85,20
549,aquarium,6.43,1.78,21,4.3,2.54,20
552,arbitration,4.09,2.0,22,4.41,2.28,22
553,arcade,6.45,1.96,20,6.1,2.47,20
554,arcane,5.25,1.86,20,3.61,1.92,23
555,arch,5.8,1.77,20,3.15,1.93,20
557,archaeologist,5.42,1.57,19,4.14,2.22,21
558,archaeology,6.1,1.62,20,3.86,2.56,21
559,archaic,4.5,1.74,22,4.38,2.11,21
560,archangel,7.27,1.78,22,4.19,2.28,26
561,archbishop,4.71,1.63,24,3.78,1.98,23
563,archduke,4.15,1.53,20,3.56,2.04,18
564,archery,5.25,2.05,20,4.39,2.57,18
565,architect,6.21,1.84,19,3.25,2.12,20
567,architecture,6.05,1.36,20,4.39,2.59,23
570,ardent,4.95,1.56,21,4.62,2.34,24
571,area,5.56,1.29,18,2.19,1.6,21
572,arena,5.75,1.45,20,4.23,2.58,22
573,argue,3.15,1.53,20,6.67,2.61,18
574,argument,2.62,1.53,21,5.22,2.68,23
576,arise,6.17,1.25,18,4.76,2.3,21
577,aristocracy,5.21,2.07,19,4.15,2.39,20
578,aristocrat,4.28,1.41,18,3.6,2.01,20
581,ark,6.15,1.31,20,3.52,2.18,21
582,arm,5.44,1.7,41,3.44,2.05,45
583,armada,4.6,1.76,20,3.29,2.24,21
584,armament,5.05,2.07,19,4.65,2.53,23
585,armchair,5.67,1.77,21,2.75,1.98,24
587,armor,6.1,1.51,21,3.29,2.44,24
589,armory,5.25,1.33,20,4.48,2.32,21
590,armpit,4.1,1.59,20,3.57,1.78,21
591,army,4.65,2.03,20,4.49,2.63,43
592,aroma,7.65,1.35,20,4.35,2.19,23
593,arouse,6.67,2.08,21,6.21,2.5,24
595,arraignment,3.91,1.74,22,4.6,1.96,25
596,arrange,5.15,0.93,20,3.57,2.11,21
597,arrangement,5.71,1.45,21,3.0,1.89,20
598,array,5.9,1.48,21,3.71,2.0,21
599,arrest,2.33,1.37,18,6.86,2.24,21
600,arrhythmia,3.86,2.32,22,4.95,2.46,22
601,arrival,6.67,1.28,21,3.6,2.42,25
603,arrogance,2.55,1.23,20,4.65,2.35,20
605,arrow,5.24,1.81,21,3.91,2.59,23
606,arsenal,4.45,2.2,22,5.48,2.24,25
607,arsenic,3.0,1.82,21,4.7,1.84,23
608,arson,2.26,1.52,19,5.41,2.5,22
609,arsonist,2.5,1.88,20,6.95,2.09,19
610,art,6.85,1.89,39,4.48,2.48,23
612,artery,4.29,2.28,21,4.09,2.35,23
613,arthritis,2.32,1.06,19,4.27,1.88,22
614,artichoke,5.3,1.75,20,3.5,2.48,22
615,article,5.68,1.42,19,3.5,1.71,22
616,articulate,6.55,1.53,22,4.27,2.59,22
617,artifact,6.2,1.61,20,4.95,2.28,20
619,artillery,4.1,1.77,20,4.56,2.59,18
620,artist,6.76,2.47,21,4.1,2.65,20
621,artiste,6.33,1.85,21,3.0,2.23,24
623,artistry,6.91,1.77,22,4.71,2.57,21
624,artwork,6.76,1.55,21,4.18,2.91,22
625,arty,6.55,2.11,22,5.53,2.55,19
626,asbestos,2.24,1.34,21,4.38,2.53,24
627,ascend,6.19,1.5,21,4.13,2.53,23
628,ascendant,5.29,1.59,21,3.23,2.0,22
630,ascension,5.77,1.57,22,5.36,2.26,22
631,ascertain,5.3,1.49,20,3.17,1.99,23
633,ashtray,3.52,1.66,21,3.48,2.27,23
634,asinine,5.05,2.25,21,4.63,2.48,19
635,ask,5.95,1.4,22,3.48,2.16,21
636,asleep,6.5,1.89,18,2.0,2.43,21
637,asparagus,5.43,2.27,21,2.73,1.98,22
638,aspect,4.89,1.15,19,3.39,2.06,18
640,asphalt,4.46,1.67,24,3.2,1.88,20
641,asphyxia,2.19,1.47,21,6.14,2.37,21
642,asphyxiation,1.53,0.84,19,6.91,1.9,22
643,aspiration,6.26,2.26,19,5.0,2.41,21
644,aspire,6.43,1.78,21,3.68,2.51,22
645,aspirin,5.3,1.34,20,3.35,2.13,20
647,ass,5.45,2.26,22,5.43,2.29,21
648,assailant,3.24,1.48,21,5.7,2.46,23
649,assassin,2.11,1.32,18,5.82,2.87,44
650,assassinate,3.27,2.1,22,6.38,2.33,21
651,assassination,1.83,0.86,18,6.2,2.75,20
652,assault,2.05,1.45,39,6.8,2.11,916
655,assemblyman,5.0,1.55,21,3.12,2.33,25
656,assert,5.68,1.49,19,4.64,2.13,22
658,assess,5.84,1.86,19,3.45,2.2,22
659,assessment,5.22,1.9,18,2.75,1.83,20
660,asset,7.25,1.21,20,4.43,2.84,21
661,asshole,2.11,1.88,18,6.38,2.77,21
662,assign,4.75,1.62,20,3.71,1.49,21
663,assignment,5.39,1.56,23,4.45,2.42,22
664,assimilate,4.63,1.86,19,4.15,1.95,20
665,assist,5.95,1.53,22,3.76,2.26,21
